source_director,target_director
Ketan Mehta,K.C. Bokadia
Ketan Mehta,Rajkumar Santoshi
Ketan Mehta,Paritosh Painter
Ketan Mehta,Mani Ratnam
Ketan Mehta,Partho Ghosh
Ketan Mehta,Rajesh Mapuskar
Ketan Mehta,Gauri Shinde
Ketan Mehta,Anusha Rizvi
Ketan Mehta,Subhash Ghai
Ketan Mehta,Rahat Kazmi
Ketan Mehta,Prabhuraj
Ketan Mehta,Jasbir Bijendra Bhati
Ketan Mehta,Faraz Haider
Ketan Mehta,Surya S.J.
Ketan Mehta,Sangeeth Sivan
Ketan Mehta,Fuwad Khan
Ketan Mehta,Karan Johar
Ketan Mehta,Mahmood Farooqui
Ketan Mehta,Farhan Akhtar
Ketan Mehta,Tinnu Anand
Ketan Mehta,Kaizad Gustad
Ketan Mehta,Abhinay Deo
Ketan Mehta,Aanand Rai
Ketan Mehta,Sai Paranjape
Ketan Mehta,Imtiaz Ali
Ketan Mehta,Mark Williams
Ketan Mehta,Shirish Kunder
Ketan Mehta,Raman Kumar
Ketan Mehta,Sunil Kumar Agrawal
Ketan Mehta,David Dhawan
Ketan Mehta,Sagar Sarhadi
Ketan Mehta,Amaan Khan
Ketan Mehta,Vikram Bhatt
Ketan Mehta,Raj Kaushal
Ketan Mehta,Shivam Nair
Ketan Mehta,Kundan Shah
Ketan Mehta,Vijay Lalwani
Ketan Mehta,Anand Tiwari
Ketan Mehta,Rakesh Mehta
Ketan Mehta,Mahesh Bhatt
Ketan Mehta,Rohit Shetty
Ketan Mehta,Ahishor Solomon
Ketan Mehta,Gurudev Bhalla
Ketan Mehta,Zoya Akhtar
Ketan Mehta,Mukul Anand
Ketan Mehta,Sudhir Mishra
Ketan Mehta,Indra Kumar
Ketan Mehta,Samar Khan
Ketan Mehta,Robbie Grewal
Ketan Mehta,Syed Ahmad Afzal
Ketan Mehta,Farah Khan
Ketan Mehta,Karan Anshuman
Ketan Mehta,Santosh Sivan
Ketan Mehta,Krishna Vamshi
Ketan Mehta,Amol Palekar
Ketan Mehta,N. Chandra
Ketan Mehta,Mahesh Manjrekar
Ketan Mehta,Shashilal K. Nair
Ketan Mehta,A. Salaam
Ketan Mehta,Samit Kakkad
Ketan Mehta,Sooraj R. Barjatya
Ketan Mehta,Shree Narayan Singh
Ketan Mehta,Prawal Raman
Ketan Mehta,Basu Chatterjee
Ketan Mehta,Praveen Nischol
Ketan Mehta,Amit Rai
Ketan Mehta,Prakash Mehra
Barry Jenkins,Ava DuVernay
Barry Jenkins,Steven Soderbergh
Barry Jenkins,James McTeigue
Barry Jenkins,Derek Cianfrance
Barry Jenkins,Peter Ramsey
Barry Jenkins,Rodney Rothman
Barry Jenkins,Susanne Bier
Barry Jenkins,Gerard McMurray
Barry Jenkins,Bob Persichetti
Barry Jenkins,Andy Serkis
Frank Miller,Steven C. Miller
Frank Miller,Tony Scott
Frank Miller,Rian Johnson
Frank Miller,Quentin Tarantino
Frank Miller,Jonathan Mostow
Frank Miller,Barry Sonnenfeld
Frank Miller,Lee Tamahori
Frank Miller,Mark Helfrich
Frank Miller,Robert Rodriguez
Frank Miller,Robert Altman
Frank Miller,Atom Egoyan
Frank Miller,Gabriele Muccino
Frank Miller,Ben Brewer
Frank Miller,Philip G. Atwell
Frank Miller,Anthony Russo
Frank Miller,Antoine Fuqua
Frank Miller,Peter Jackson
Frank Miller,Andrew Niccol
Frank Miller,Mike Gunther
Frank Miller,Marco Schnabel
Frank Miller,Kyle Newman
Frank Miller,Roland Joffé
Frank Miller,Terry Gilliam
Frank Miller,Shane Acker
Frank Miller,Mike Newell
Frank Miller,Bob Nelson
Frank Miller,Mike Judge
Frank Miller,Joe Russo
Frank Miller,Francis Ford Coppola
Frank Miller,Gregory Hoblit
Frank Miller,Alex Brewer
Frank Miller,James Foley
Frank Miller,Steve Loter
Frank Miller,William H. Macy
Frank Miller,Macon Blair
Frank Miller,Jennifer Kaytin Robinson
Frank Miller,Brad Peyton
Frank Miller,Simon Wincer
Frank Miller,Lawrence Kasdan
Frank Miller,Mark Osborne
Frank Miller,David E. Talbert
Frank Miller,Richard Donner
Frank Miller,Kazuaki Kiriya
Frank Miller,David Grossman
Frank Miller,Marianna Palka
Frank Miller,Brian A. Miller
Frank Miller,Ridley Scott
Fernando Meirelles,Daniel Alfredson
Fernando Meirelles,Gregory Hoblit
Fernando Meirelles,Terry Gilliam
Fernando Meirelles,Adam Shankman
Fernando Meirelles,Kristian Levring
Fernando Meirelles,James Ivory
Fernando Meirelles,Taika Waititi
Fernando Meirelles,Kieran Darcy-Smith
Fernando Meirelles,Dennie Gordon
Fernando Meirelles,Ron Howard
Fernando Meirelles,Martin Campbell
Fernando Meirelles,Roger Spottiswoode
N. Linguswamy,Rajkumar Hirani
N. Linguswamy,Jitendra Tiwari
N. Linguswamy,Pranav Singh
N. Linguswamy,Priyadarshan
N. Linguswamy,Madhur Bhandarkar
N. Linguswamy,Dharmesh Darshan
N. Linguswamy,Shivam Nair
N. Linguswamy,Aanand Rai
N. Linguswamy,Rakeysh Omprakash Mehra
N. Linguswamy,Prabhu Deva
N. Linguswamy,Nishikant Kamat
N. Linguswamy,Mani Ratnam
N. Linguswamy,Mastan Alibhai Burmawalla
N. Linguswamy,Neeraj Pandey
N. Linguswamy,Prawal Raman
N. Linguswamy,Bedabrata Pain
N. Linguswamy,Khalid Mohamed
N. Linguswamy,Soumendra Padhi
N. Linguswamy,Leena Yadav
N. Linguswamy,Prakash Jha
N. Linguswamy,Abbas Alibhai Burmawalla
N. Linguswamy,Atanu Mukherjee
N. Linguswamy,Sanjay Dayma
N. Linguswamy,Amaan Khan
Patricia Rozema,Michael J. Bassett
Patricia Rozema,Danny Boyle
Patricia Rozema,Claude Barras
Patricia Rozema,Sian Heder
Patricia Rozema,Andrew Stanton
Patricia Rozema,Noam Murro
Patricia Rozema,Julie Taymor
Patricia Rozema,Steven Spielberg
Patricia Rozema,Robert Zemeckis
Patricia Rozema,Pedro Morelli
Patricia Rozema,Gideon Raff
Patricia Rozema,J.C. Chandor
Patricia Rozema,Les Mayfield
Patricia Rozema,Sally Potter
Patricia Rozema,Gregory Hoblit
Patricia Rozema,Jay Baruchel
Patricia Rozema,Richard Curtis
Patricia Rozema,Alexandre Aja
Patricia Rozema,Christopher Nolan
Patricia Rozema,Phil Morrison
Patricia Rozema,Gurinder Chadha
Patricia Rozema,Karyn Kusama
Patricia Rozema,Keoni Waxman
Dax Shepard,Ken Kwapis
Dax Shepard,Eric Stoltz
Dax Shepard,Roger Allers
Dax Shepard,Griffin Dunne
Dax Shepard,Chris Buck
Dax Shepard,Jennifer Lee
Dax Shepard,Patrick Osborne
Dax Shepard,Lauren MacMullan
Dax Shepard,John Kahrs
Dax Shepard,Nathan Greno
Dax Shepard,Byron Howard
Dax Shepard,Stevie Wermers
Dax Shepard,Dean Wellins
Dax Shepard,Kevin Deters
Dax Shepard,Mike Gabriel
Dax Shepard,Mark Henn
Dax Shepard,Steve Brill
Dax Shepard,Peter Lepeniotis
Dax Shepard,Rusty Cundieff
Dax Shepard,Andrzej Bartkowiak
Dax Shepard,David Palmer
Dax Shepard,Lauren Miller Rogen
Dax Shepard,James Duffy
Dax Shepard,Lone Scherfig
Dax Shepard,Eva Vives
Dax Shepard,Will Graham
Dax Shepard,David Wain
Dax Shepard,Shawn Levy
Dax Shepard,Peyton Reed
Dax Shepard,Neal Brennan
Dax Shepard,James Gunn
Dax Shepard,Anthony Russo
Dax Shepard,Patrik Forsberg
Dax Shepard,Peter Hutchings
Dax Shepard,Neil Burger
Dax Shepard,Ken Marino
Dax Shepard,Timothy Reckart
Dax Shepard,Elizabeth Banks
Dax Shepard,Jay Chandrasekhar
Dax Shepard,Brett Ratner
Dax Shepard,Peter Segal
Dax Shepard,Peter Farrelly
Dax Shepard,Jonathan van Tulleken
Dax Shepard,Steve Carr
Dax Shepard,Steve Antin
Dax Shepard,Derek Cianfrance
Dax Shepard,Joe Russo
Robiul Alam Robi,Nuhash Humayun
Robiul Alam Robi,Syed Ahmed Shawki
Robiul Alam Robi,Rahat Rahman
Robiul Alam Robi,Krishnendu Chattopadhyay
Robiul Alam Robi,Golam Kibria Farooki
Robiul Alam Robi,Mir Mukarram Hossain
Robiul Alam Robi,Abdullah Al Noor
Robiul Alam Robi,Syed Saleh Ahmed Sobhan
Robiul Alam Robi,Mahmudul Islam
Robiul Alam Robi,Tanvir Ahsan
Pedro Morelli,Edgar Wright
Pedro Morelli,Eli Craig
Pedro Morelli,Kevin Smith
Pedro Morelli,Gus Van Sant
Pedro Morelli,Bruce McCulloch
Pedro Morelli,Matt Piedmont
Pedro Morelli,Michael Dowse
Pedro Morelli,Bong Joon Ho
Pedro Morelli,Keoni Waxman
Pedro Morelli,Alejandro G. Iñárritu
Pedro Morelli,Jay Baruchel
Gideon Raff,Brad Anderson
Gideon Raff,Edgar Wright
Gideon Raff,Oliver Blackburn
Gideon Raff,Alain Desrochers
Gideon Raff,Griffin Dunne
Gideon Raff,Steve Brill
Gideon Raff,Rusty Cundieff
Gideon Raff,Antoine Fuqua
Gideon Raff,Leena Yadav
Gideon Raff,Steven Spielberg
Gideon Raff,Sam Raimi
Gideon Raff,Marco Schnabel
Gideon Raff,Brett Ratner
Gideon Raff,Charles Stone III
Gideon Raff,Bong Joon Ho
Gideon Raff,Kevin Munroe
Gideon Raff,Andy Goddard
Gideon Raff,Steve Carr
Gideon Raff,Douglas McGrath
Gideon Raff,J.C. Chandor
Gideon Raff,Phil Morrison
Gideon Raff,Karyn Kusama
Gideon Raff,James Duffy
Gideon Raff,Will Graham
Gideon Raff,Anthony Russo
Gideon Raff,James Gunn
Gideon Raff,Patrik Forsberg
Gideon Raff,Michael Cuesta
