source_director,target_director
Rajkumar Hirani,Kookie V. Gulati
Rajkumar Hirani,Raj Kaushal
Rajkumar Hirani,Aziz Mirza
Rajkumar Hirani,Aditya Vikram Sengupta
Rajkumar Hirani,Samar Khan
Rajkumar Hirani,Punit Malhotra
Rajkumar Hirani,Rajesh Mapuskar
Rajkumar Hirani,Umesh Shukla
Rajkumar Hirani,Prem Soni
Rajkumar Hirani,Dar Gai
Rajkumar Hirani,Abhinay Deo
Rajkumar Hirani,Abhishek Chaubey
Rajkumar Hirani,Kiran Rao
Rajkumar Hirani,Abbas Alibhai Burmawalla
Rajkumar Hirani,Girija Oak
Rajkumar Hirani,Soumitra Ranade
Rajkumar Hirani,Mani Ratnam
Rajkumar Hirani,Leena Yadav
Rajkumar Hirani,Zoya Akhtar
Rajkumar Hirani,Nishikant Kamat
Rajkumar Hirani,Amit Rai
Rajkumar Hirani,David Dhawan
Rajkumar Hirani,Shashanka Ghosh
Rajkumar Hirani,Shelly Chopra Dhar
Rajkumar Hirani,Rajkumar Santoshi
Rajkumar Hirani,Prawal Raman
Rajkumar Hirani,Ken Ghosh
Rajkumar Hirani,Sunil Kumar Agrawal
Rajkumar Hirani,Kaizad Gustad
Rajkumar Hirani,Indra Kumar
Rajkumar Hirani,Dharmesh Darshan
Rajkumar Hirani,Darsheel Safary
Rajkumar Hirani,Saurabh Kabra
Rajkumar Hirani,Aanand Rai
Rajkumar Hirani,R. Balki
Rajkumar Hirani,Imtiaz Ali
Rajkumar Hirani,Mastan Alibhai Burmawalla
Rajkumar Hirani,Milan Luthria
Rajkumar Hirani,Priyadarshan
Rajkumar Hirani,Ketan Mehta
Rajkumar Hirani,Abhishek Kapoor
Rajkumar Hirani,Ram Gopal Varma
Rajkumar Hirani,Faraz Haider
Rajkumar Hirani,Tanay Chheda
Rajkumar Hirani,Anand Tiwari
Rajkumar Hirani,Shakun Batra
Rajkumar Hirani,Satyajit Bhatkal
Rajkumar Hirani,Tisca Chopra
Rajkumar Hirani,Reema Kagti
Rajkumar Hirani,Sajid Khan
Rajkumar Hirani,Dibakar Banerjee
Rajkumar Hirani,Renzil D'Silva
Rajkumar Hirani,Ayaan Mukherji
Rajkumar Hirani,Mikhil Musale
Rajkumar Hirani,Mozez Singh
Rajkumar Hirani,Santosh Sivan
Rajkumar Hirani,Fuwad Khan
Rajkumar Hirani,Partho Ghosh
Rajkumar Hirani,Karan Johar
Rajkumar Hirani,Subhash Ghai
Rajkumar Hirani,Anurag Kashyap
Rajkumar Hirani,Krish
Rajkumar Hirani,Surya S.J.
Rajkumar Hirani,Sanjay Dayma
Rajkumar Hirani,Sidharth Malhotra
Rajkumar Hirani,Rohit Shetty
Rajkumar Hirani,Advait Chandan
Rajkumar Hirani,Ananth Narayan Mahadevan
Rajkumar Hirani,Anees Bazmee
Rajkumar Hirani,Samit Basu
Rajkumar Hirani,Apoorva Lakhia
Rajkumar Hirani,Anant Balani
Rajkumar Hirani,Nitesh Tiwari
Rajkumar Hirani,Prabhuraj
Rajkumar Hirani,Rucha Humnabadkar
Rajkumar Hirani,Anurag Basu
Rajkumar Hirani,Tarun Mansukhani
Rajkumar Hirani,Vipin Sharma
Rajkumar Hirani,N. Linguswamy
Rajkumar Hirani,Rakeysh Omprakash Mehra
Rajkumar Hirani,Anthony D'Souza
Rajkumar Hirani,Rajat Kapoor
Rajkumar Hirani,Madhur Bhandarkar
Rajkumar Hirani,Chandra Prakash Dwivedi
Rajkumar Hirani,M.K. Raina
Rajkumar Hirani,Manika Sharma
Rajkumar Hirani,Ashutosh Gowariker
Rajkumar Hirani,Farhan Akhtar
Rajkumar Hirani,Manish Jha
Rajkumar Hirani,Sudhir Mishra
Rajkumar Hirani,Kunal Deshmukh
Rajkumar Hirani,Prakash Jha
Robert Osman,Beverly Hills
Robert Osman,Nathanael Wiseman
Robert Osman,Oliver Stark
Robert Osman,Luis Prieto
Robert Osman,John Schultz
Robert Osman,Ralph Brown
Robert Osman,Andrew Goth
Robert Osman,Andy Lucas
Robert Osman,Mem Ferda
Robert Osman,Kat Gellin
Robert Osman,Alexandra Newick
Nathanael Wiseman,Beverly Hills
Nathanael Wiseman,Oliver Stark
Nathanael Wiseman,Luis Prieto
Nathanael Wiseman,John Schultz
Nathanael Wiseman,Ralph Brown
Nathanael Wiseman,Andrew Goth
Nathanael Wiseman,Andy Lucas
Nathanael Wiseman,Mem Ferda
Nathanael Wiseman,Kat Gellin
Nathanael Wiseman,Alexandra Newick
Jon Spira,Philipp Stölzl
Mez Tharatorn,Sukum Maetawanitch
Mez Tharatorn,Banjong Pisanthanakun
Mez Tharatorn,Note Chern-Yim
Mez Tharatorn,Chayanop Boonprakob
Adisorn Tresirikasem,Songyos Sugmakanan
Adisorn Tresirikasem,Visute Poolvoralaks
Adisorn Tresirikasem,Parkpoom Wongpoom
Adisorn Tresirikasem,Banjong Pisanthanakun
Adisorn Tresirikasem,Paween Purikitpanya
Banjong Pisanthanakun,Songyos Sugmakanan
Banjong Pisanthanakun,Visute Poolvoralaks
Banjong Pisanthanakun,Parkpoom Wongpoom
Banjong Pisanthanakun,Chanon Yingyong
Banjong Pisanthanakun,Paween Purikitpanya
Banjong Pisanthanakun,Atsajun Sattakovit
Banjong Pisanthanakun,Phuwanit Pholdee
Banjong Pisanthanakun,Chayanop Boonprakob
Paween Purikitpanya,Songyos Sugmakanan
Paween Purikitpanya,Visute Poolvoralaks
Paween Purikitpanya,Parkpoom Wongpoom
Paween Purikitpanya,Chayanop Boonprakob
Songyos Sugmakanan,Visute Poolvoralaks
Songyos Sugmakanan,Parkpoom Wongpoom
Songyos Sugmakanan,Chayanop Boonprakob
Parkpoom Wongpoom,Visute Poolvoralaks
Parkpoom Wongpoom,Chayanop Boonprakob
Visute Poolvoralaks,Chayanop Boonprakob
Susan Johnson,Rob Minkoff
Susan Johnson,Chris Bouchard
Susan Johnson,Sofia Coppola
Susan Johnson,Josh Mendoza
Susan Johnson,Simon Verhoeven
Susan Johnson,John R. Leonetti
Susan Johnson,Chris Nelson
Susan Johnson,Alex Israel
Susan Johnson,Alex Richanbach
Susan Johnson,Maya Forbes
Susan Johnson,Stephen Gyllenhaal
Susan Johnson,Blake Harris
Susan Johnson,Marianna Palka
Susan Johnson,Ann Deborah Fishman
Susan Johnson,McG
Susan Johnson,Ari Sandel
Susan Johnson,Ben Young
Susan Johnson,Tamara Jenkins
Susan Johnson,Chris McCoy
Susan Johnson,Christopher Smith
Susan Johnson,Scott Zabielski
Susan Johnson,Michael Mason
Lynn Shelton,Brad Morris
Lynn Shelton,Elizabeth Banks
Lynn Shelton,Mel Smith
Lynn Shelton,Christine Woods
Lynn Shelton,Anthony Abrams
Lynn Shelton,Adam Larson Broder
Lynn Shelton,Destin Daniel Cretton
Lynn Shelton,Olivier Assayas
Lynn Shelton,Chris Williams
Lynn Shelton,Jenny Gage
Lynn Shelton,Rusty Cundieff
Lynn Shelton,James Duffy
Lynn Shelton,Timm Sharp
Lynn Shelton,Christopher Storer
Lynn Shelton,Will Graham
Lynn Shelton,Hoyt Yeatman
Lynn Shelton,Linas Phillips
Lynn Shelton,Daniel Stamm
Lynn Shelton,Miguel Arteta
Lynn Shelton,Steve Brill
Lynn Shelton,Lasse Hallström
Lynn Shelton,Duncan Jones
Lynn Shelton,Brett Ratner
Lynn Shelton,Griffin Dunne
Lynn Shelton,David Soren
Lynn Shelton,J. Davis
Lynn Shelton,Steve Carr
Lynn Shelton,Steven Weber
Lynn Shelton,Chris Renaud
Lynn Shelton,Patrik Forsberg
Lynn Shelton,Leah Remini
Lynn Shelton,Jonathan van Tulleken
Lynn Shelton,Edgar Wright
Lynn Shelton,James Gunn
Lynn Shelton,McG
Lynn Shelton,Amy Sedaris
Lynn Shelton,Ava Acres
Lynn Shelton,Andy Tennant
Lynn Shelton,Gilles Paquet-Brenner
Lynn Shelton,John Dahl
Lynn Shelton,Tim Blake Nelson
Lynn Shelton,Massy Tadjedin
Lynn Shelton,Eddie Pepitone
Lynn Shelton,Peter Farrelly
Lynn Shelton,Nicole Holofcener
